당시에 교재 구하기가 쉽지 않아서 해외 중고거래 사이트에서 구했던 기억이 납니다. 시험은 상당히 지엽적으로 나오는 편이어서 공부한만큼 성적이 나옵니다. 영어 전용과목이지만 교수님이 한국분이시고 쉬운 단어 위주로 설명해주셔서 이해하는데 크게 어려움은 없습니다.	0
고등학교때 생1생2를 했다면 매우 쉬울 수업. 중국인도 많아서 에이받기는 쉽지만 다들 치열해서 에이쁠을 받기는 좀 힘듦.	0
수업만 열심히 듣고 단원별 문제풀면 시험기간에 별로 안힘들듯  방심하고 수업도안듣고 공부도 하루이틀전부터 벼락치기했더니 에제받음 쁠은 안채워주심	0
문과면 비추. 생1지식 있으면 영어단어만 외워도 벼락치기로 커버가능. 수업때 풀어주는 문제 몇개 그대로 나오니 찍어두길 바라고 시험때만 공부해도 잘 받기 가능. 다만 에쁠은 공부좀 열심히 해야함. 본인은 중간 에쁠컷 최종 에쁠받았는데 수업 거의 졸고 시험공부는 열심히 했음. 퀴즈는 오픈북이라 변별력도 없고 2번까진 빠져도 영향없음.	0
좋아요~ 교수님께서 연습문제 풀라고 하신거만 풀어도 학점 잘 나와요!	0
띵강이니 그냥 들으세요 단 외우는거자신있으신분들은 성적받기무난할정도로 시험문제도 쉽습니다	0
영어 + 생명과학 두마리 토끼 ㅎㅎ  퀴즈는 어렵지않고 시험은 전부 객관식이라 공부하면 할만해요.  저 영어 잘 못하는데도 복습잘해서 학점잘받았어용	0
열심히 하면 그만큼 받는 과목인거 같습니다. 저는  비전공자(인문)이지만  성적 잘나왔어용  ㅎㅎ  다만  분량이많으니 벼락치기보단  며칠 전부터  준비하시는게  정신건강에 이롭습니다.	0
생명과학을 선택하지 않아 힘들었다 생1 2 선택자거나 전공이 들으면 수월할듯	0
듣지 마세요 제발 Tech No ! 교수님의 열정이 너무 넘쳐서 감자와도 같은 학생들이 갈립니다. 학점을 받기 위한 엄청난 노력을 진행하는 것이 취미라면 해볼만 하긴 하지만 그럴거면 차라리 교수님의 다른 테크노로 가시는 게 나을 듯…? 팀플 박물관 전시 기획… 제발 도망가요 여러분들..	2
중간고사 있고 기말은 팀플 중간고사까지는 전까지 배운 강의 내용에서 나왔음 보통 시험처럼 강의 내용 기반해서 본 것 같음. 과학의 명암을 여러 분야에서 살펴보는 방식이었음 중간 이후 수업은 대부분 팀플로 진행되는데, 투자한 시간만큼 결과도 나오는 것 같음. 주제는 과학관 전시 기획이었음.	2
학점은 딱 기대만큼 주셨고 밑에 강의평만큼 흥미롭다고는 못 느낌... 할 게 많고 기대하는 게 굉장히 많으신 것 같음. 영역 채우려는 학생은 다른 과목 듣는 게 나을 듯	2
굉장히 흥미로운 수업임. 수업 주제 자체가 너무 좋아서 한 학기 동안 행복하게 수업 들었음. 팀플이 조금 많긴 하지만 열심히 하면 가능.	2
큰 수고 없이 비쁠 받고 싶다면 최고의 강의이지만 에이쁠을 노리고 들어온다면 모호한 평가방식+ 출결 반영 0%로 인해 마음고생을 꽤나 하게 되는 것 같습니다. 중간고사 기말고사를 개별평가해서 각각 상위 20%에 에이쁠 부여하신다고는 하는데 평가기준이 교수님 마음이니 무조건 눈에 띄는 수 밖에 없는 것 같아요. 성적 나올때까지 가장 마음 졸였던 과목이 아닌가 싶습니다.....	3
쁠 체워주는게 위험할 수도 있음 수업 들을필요없음 출튀 쉬움 발표 올인..	3
강의는 하나도 안들어도 되지만 중간레포트와 기말조발표가 중요합니다 중간 상위 몇명과 기말 상위 몇명은 아묻따 무조건 A+입니다 에제 비제같은거 없고 무조건 에쁠과 비쁠로 점수를 주십니다  이 시스템이 아쉬운게 개인의 노력은 최소 에제라고 하더라도 너무 잘해버린 몇명이 에쁠 자리를 가져가기 때문에 밀려날 수 있습니다 더해소 기말조발표를 잘 준비하세요 조발표가 교수님 평가 + 학생 평가 반반으로 반영하기 때문에 본인이 아무리 열심히 준비했다고 하더라도 조원들의 발표 능력이 부족하거나 발표 자체가 재미가 없다면 학생들의 얄짤없는 평가가 이루어집니다 그리고 그냥 발표 안 듣고 점수만 쓰고 출튀하는 학생들이 많기 때문에 학생평가 부분을 크게 반영하는 게 좀 아쉽습니다 ㅠㅠ 아무튼 개인의 노력보다는 조 운빨이 중요하여 ㅠㅠ 생각보다는 노력하셔야 하거나 오히려 노력을 안해도 꿀빨수도 있습니다	3
교수님이 학생들 배려를 정말 잘해주십니다! 인성이 정말 좋으신 것 같아요!	3
레포트 작성만 잘 하시면 무난하게 성적 얻어가실 수 있습니다.	3
전자출결이고 수업 빨리 끝내주셔서 강의 들을 때는 정말 꿀강입니다 중간 기말 과제들은 좀 귀찮긴 한데 한 주 정도만 열심히 하면 되는 것 같아요 팀플은 조원 잘 구하는 게 중요해요 친구들 모아서 같이 듣는 걸 추천합니다	3
중간 대체 과제 기말 조별 발표영상 제출 수업 하나도 안들어도 가능한 것들이라 개꿀 근데 중간과제를 내가 못했나봄 ㅠㅠ 비쁠 ㅠ	3
교수님이 귀여우심 대체과제도 나쁘지않음 팀플이 있고 성적이 어떻게 나올지는 모르겠지만 만족함	3
흐음 평가기준을 알 수 없으니 꿀강이라고 할 수 있을지 ? 너무 자유롭게 기준을 제시하셔서 오히려 어렵게 느껴졌음	3
교수님 정말 최고십니다 .. ㅠㅠ 수업은 실강으로 진행했고 중간은 대체과제로 제출했습니다! 교수님께서 주시는 주제대로 피피티, 한글, 동영상 등 원하는 형태로 제출 해도 되고 대체 과제 하면서 개인적으로 재밌었습니다 ~ 기말은 조 짜서 동영상 제출하는건데 이건 혼자 해도 상관 없긴 해요 조 짤때도 맘대로 조원 정할 수 있어요 퀴즈는 딱 한번 있었는데 정말 어렵지 않은 퀴즈고 중간 기말 대체과제도 내용만 주제에 충실하면 학점 잘 주세요 굳굳	3
교수님이 진짜 친절하시고 시험이 없다는 점에서 과학기술영역 꿀교양임	3
수업도 재밌어요. 교수님 굉장히 친절하십니다. 레포트 하나 조별과제 하나 있는데, 레포트는 수업 내용을 몰라도 주제만 듣고 충분히 할 수 있는 거였고, 조별과제도 마찬가지였습니다. 점수도 굉장히 잘 주시고 수업 듣기도 굉장히 편한 꿀교양입니다.	3
우선 시험이 없어서 수업 내용 안 들어도 상관은 없음. 중간 기말 과제 있는데, 중간은 개인 과제고 레포트 써서 내면 됨. 기말은 팀별 과젠데, 팀이 싫으면 혼자서도 가능.  개인적으로 꿀 강의인듯	3
중간 레포트는 covid -19 펜더믹 이후로 바뀐 '바다'에 관련된 주제에 대한 레포트였습니다.  부담없이 재미있게 들을 수 있는 수업입니다.	3
레포트와 과제 신경써서내면 좋은 성적 받을 수 있음.	3
교수님이 정말 좋으시며 학점 꽉꽉 채워주십니다 시험이 없기에 수업을 열심히 안들으셔도 됩니다 교수님께서 창의적인걸 좋아하시기에 리포트와 조별과제에서 임팩트 있는 모습을 보여준다면 좋은 성적을 받아가실 수 있을 것 같습니다	3
교수님이 학생들 부담 안주시려고 노력하시는데 성적기쥰은 잘 모르겠음 ㅜ	3
교수님이 젊으셔서 그런지 융통성 있으시고 센스 있으심 싸강) 이번 학기 기준 중간은 개인과제 제출, 기말은 조별 과제였음 일단 시험이 없어서 부담이 1도 없음 시험 기간 안 겹치게 과제 내주셔서 좋음 학점도 잘 주십니다 그냥 하라는 거 다했는데 A+ 떴어요 조원 잘 만나면 조별 과제도 할 만합니다~	3
