수업 단 하나도 안듣고 전부잤고 전날 세시간 공부해서 에쁠받았습니다. 믿고들으세요. 교수님이 강의열정이 있으셔서 자는데 좀 눈치보이는게 흠입니다,시험 전주에 시험에 나올거 99프로 찝어주시는데 내용 좀 어려워보여도 그냥 다 외우면 됨. 그냥 시험 2-3일전에 교수님이 찝어주신거 그림이나 정의같은거 싹다 외우고 시험때 생각없이 외운거 쓰고왔더니 에이플이었음. 솔직히 수업내용은 좀 생소할지 몰라도 꿀과목맞음,문과인데 수업이 조금 지루하긴 했어도 교양스러운 유익함이었음 ppt 영어인게 좀 그랬지만 교수님이 설명 다 해주시기도 하고 과제x 오로지 기말 시험만으로 갈려서 부담 없이 듣기 좋은듯
A+를 받기는 했으나 그만큼 이 과목에 시간을 너무 많이 써야 했음. 절대 꿀강은 아니지만 그래도 노력한 만큼 점수는 나오는 과목이라고 생각함. 성적은 너그럽게 부여하시므로 노력 많이 해서 꼭 A+를 받고 싶은 사람한테는 어느 정도 추천. 강의 중 아예 못 알아듣겠는 말이 상당히 많음. 그런데 그런 말들은 보통 시험에 안 나오고 명확히 설명하신 것과 중요하게 설명하신 것만 시험에 나오므로 그것만 암기하면 될 듯함.,음..꿀이다! 지구과학 선택자라면 몇 시간만 투자하면 에쁠 꺼억,조금 철학적인 면이 없지않아 있지만 문과도 쉽게 배울수 있을거 같아요
수강신청하지말고 폐강시키세요 얻어가는것없는데다 깐깐하고 감상문 많이씁니다 솔직히 교수님이 한국말로수업하시는지도 모르겠어요,수업때 켜놓기만 하다가 피피티로 시험공부 조금만해도 A+주심 과제는 좀 많은데 이정도해서 A+이면 할만함.,솔직히 수업보다 사담이나 오픈채팅방에 올라오는 질문에 대한 답이 더 시간을 많이 잡아서 너무 집중력이 분산되는느낌입니다.. 사담많은거 싫어하면 비추
인공지능에 대해 더 깊이 알 수 있었고 강의도 무난합니다,무난함 교수님도 착하심 학점 잘줌 책읽고 발제문 작성하는게 시간이 좀 걸리기 하는데 투자노력 대비 학점 생각해보면 크게 나쁘진 않다 생각함,1. 퀴즈 전 주에 배운 내용으로 약 열 문제 출제됨. 난이도는 쉬운편(써머리 읽고 가면 거의 다 맞출 수 있는 정도)   2. 시험 중간 한번 기말 한번 보는데 중간은 퀴즈랑 써머리 마지막에 있는 객관식 문제에서 대부분 나왔고 기말은 책 자세히 읽어야 풀 수 있는 문제가 여러 개 나와서 변별력 있었음.   중간고사 다 맞은 사람으로서 Tip: 교과서 2번 정도 정독하시기를 추천.. 교과서 읽어야만 풀 수 있는 문제가 있는데 그걸 맞춰야 A+받을 수 있는 거 같음.
대형강의지만 교수님이 항상 수업 전부터 이름 직접 불러주심 놓쳤어도 마지막에 또 불러주시니 괜찮음 수업 딱 맞춰가면 자리가 다 차서 앉기가 애매하니 주의 매 수업마다 강연듣고 객관식 문제풀고 뒤에 짧은 논술형 쓰는 정도!이과 내용 하나도 몰라도 논술형 열심히 분량으로 채워보고 수업 내용 들으면 학점 잘 받을 수 있음,과제없고 시험없는대신 매주 강연끝나고 퀴즈가 있음. 객관식 + 자기생각(서술형) 객관식 잘 못봐도 자기생각 논리적으로 분량 많이 쓰면 점수는 잘 주심 추천 !,열심히 하면 교수님도 학생들에 맞춰서 수업 방향 맞춰주십니다. 평소 접하기 힘든 vr ar 기기도 다뤄볼 수 있었고 연구소에서 만든 프로그램도 해볼 수 있었어요. 많이 배워가요!
평점이 낮은 건 이유가 있다 왜 들었는지 너무 후회되는 수업,교수님 썰도 같이 이야기 해주셔서 지루하지 않았고 아직 진도가 많이 나가진 않았지만 구급법 하나는 제대로 알게될거 같아요,듣지 마세요 제발 Tech No ! 교수님의 열정이 너무 넘쳐서 감자와도 같은 학생들이 갈립니다. 학점을 받기 위한 엄청난 노력을 진행하는 것이 취미라면 해볼만 하긴 하지만 그럴거면 차라리 교수님의 다른 테크노로 가시는 게 나을 듯…? 팀플 박물관 전시 기획… 제발 도망가요 여러분들..
문과라 털렸지만 교수님은 사랑합니다. 수업 너무 재밌엇어요 감사합니다 겨스님 그림 너무 잘그리시고 귀여우심 ㅜㅜ 강의도 진짜 이해잘가고 유익하고 재밌음 ㅠㅠ 강추 ㅠㅠㅠ,생명과학 12 베이스 탄탄하지 않은 사람들에겐 많이 어려울 것 같습니다 고등학교 때 생1 수능보고 생2 열심히 공부하고 대학 와서도 생명과학 관련 강의 3번 넘게 들었었는데 시험볼 땐 불안했거든요,시간 맞아서 들었던 건데 교수님이 유쾌하시고 재미있다 중간도 보고서 대체라 어렵지 않았음
교수님께서 학생들과 호흡하려고 하시는게 눈에 보이고  정말 생활속에 여러가지 화학이야기들을 알 수 있는 시간이라서 재미있습니다.  그러나 그 이야기들을 암기해야한다고 했을때는 화학을 중학교 이후 처음 접하는 사람으로서 부담이 됩니다.,소통을 가장한 친목. 손가락과 인터넷이 빨라야만 참여할 수 있는 선착순 퀴즈. 이것이 진정 공정한 수업참여도 평가기준인지 다시 한번 생각해주셨으면 좋겠습니다.,저는 뇌과학 이런거 좋아해서 수업을 흥미롭게 들어서 좋았는데 만약 과학이나 생물 싫어하면 지루하고 어려울듯요...! 몸 부위별로 영어도 외워야 해서 살짝 암기량은 많아요  수업 마지막 쯤에 인공지능 강의도 듣는데 그건 저도 이과인데 어려웟어요 그 부분은 공부하기 빡세서 대충햇는데 다른 부분에서 잘 맞아서 에이쁠 맞앗어요 선택과 집중 남들도 다 어려웠던듯요
매 시간마다 퍼즐 과제+퀴즈가 있어요. 퀴즈는 요약만 읽고 가도 상관없지만 가끔 교과서를 읽어야 풀 수 있는 문제도 나옵니다. 가벼운 시험이지만 영전이라 그런지 잘 보려고 마음 먹으면 꽤 준비하는 게 까다롭더라구요.. 그래도 내용이 재미있어서 저는 괜찮았습니다. 교수님 강의력 정말 좋으십니다. 제가 들은 영어전용 강의 중에 가장 깔끔하고 듣기 좋았어요. 중간중간 이해 못하는 것 같으면 한국어도 섞어서 해주십니다ㅎㅎ 중간시험 끝나고 짧게 가졌던 야외수업도 특별하고 재밌었어요. 시험은 전부 객관식이고 교재를 꼼꼼히 읽으면 풀 수 있는 정도의 난이도로 나옵니다. 이번에는 중간보다 기말이 조금 더 어려웠어요. 다만 교재가 비싸고 구하기 어렵다는 점은 참고하시면 좋을 것 같습니다. 생명 베이스는 없지만 졸업하려고 찾아 들은 영전인데 기분 좋게 A+ 받아갑니다. 영전 채우기용 교양으로 추천해요!,가뜩이나 어려운 생물 용어를 영어로 배우니깐 처음에는 생소하고 사전을 하나하나 찾아가며 공부했습니다. 과제가 따로 없고 퀴즈를 보는데 뒤로 갈수록 제한 시간이 없어져 빡빡하니 교과서 내용을 2번 정도 훑고 퀴즈를 보는 것을 추천합니다. 중간고사 90점대 초반 기말고사 114/120 퀴즈 평균 23-24/25로 최종 에이쁠 받았습니다. 2학점짜리 교양치고는 시험공부에 시간을 꽤 투자해야하는 과목 같습니다.,피피티 없고 판서도 없어서 지루함. 들은걸 후회하는 수업. 나의 많은 교수님의 수지찬양이 보기 불편
난 이게 전공과목으로 열리는 수업이랑 핵심교양으로 열리는 수업이 통합되어 진행하는 줄 몰랐음. 그만큼 빡빡하고 세세하게 채점해주심. 수업시간 질문 퀴즈 중간발표 최종발표까지 모든 게 다 평가에 들어감. 그래서 종종 숨이 막혀옴. 중간 고사는 수업시간 때 배운게 객관/주관/서술형 모두 출제 됨. 난이도 상당하고 조밀하게 다 외워야 함. 기말 팀플은 조원들이 다 좋으셔서 괜찮았지 아니었으면 죽고 싶었을듯. 기말 팀플 형식은 박물관 전시 기획 해보기 였음. 전체 전시 주제 하에서 각자 존을 맡아 하나를 완성해 조별 평가-개인 평가 모두 들어감. 성적은 후하심 인정.,1. 교수님 너무 좋으심. 개별 퀴즈 보고서 시험 피드백 해주심. 수업도 매우 잘 하셔서 재밌게 들음. 2. 수업 테크노사이언스 과학기술 STS 좋아하는 나는 너무 재밌던 강의. 과기철 확장판 정도랄까. 어려움 없이 따라갈 수 있었음. 녹강으로 진행하다가 중간에 실강+녹강으로 해주셨는데 수업 끝나고 퀴즈봐야하는데 퀴즈 꽤 중요해서 수업 빡세게 들어야 함. 3.과제 -퀴즈: 수업 끝나고 퀴즈 봄. 의견 물어보는 문제도 있고 답이 정해진 문제도 있음. 수업시간에 들은더 세세하게 다 적어야 감점 안 당함. 퀴즈에 대한 피드백 다 해주심. -중간과제: 주제 정해주시고 레포트 썼음. 채점을 어떻게 하시는지는 모르겠으나 난 열심히 썼고 점수 잘 받음. -팀플: 팀플이라기보단 토론수업 정도인데 두 주차 정도 주제 던져주시고 조원끼리 토의해서 피피티 작성 후 제출. 4. 시험 기말은 시험으로 봄. 퀴즈들 열심히 풀고 피드백 따라서 보완해서 준비했음. 5. 총평 테크노사이언스는 박민아 교수님 듣기. 굳굳,무난함 교수님도 착하심 학점 잘줌 책읽고 발제문 작성하는게 시간이 좀 걸리기 하는데 투자노력 대비 학점 생각해보면 크게 나쁘진 않다 생각함
